geographic_level,old_la_code,new_la_code,la_name,version,qualification_type,subject,gender,grade,number_achieving,percentage_achieving
Local authority,383.0,E08000035,Leeds,Revised,GCSE,Any modern language,Total,Total pupil entries,4097,z
Local authority,383.0,E08000035,Leeds,Revised,GCSE,Any Science,Total,Total pupil entries,8707,z
Local authority,383.0,E08000035,Leeds,Revised,GCSE,Art and Design,Total,Total pupil entries,2483,z
Local authority,383.0,E08000035,Leeds,Revised,GCSE,Business,Total,Total pupil entries,1615,z
Local authority,383.0,E08000035,Leeds,Revised,GCSE,Computer Science,Total,Total pupil entries,1031,z
Local authority,383.0,E08000035,Leeds,Revised,GCSE,Design & Technology,Total,Total pupil entries,753,z
Local authority,383.0,E08000035,Leeds,Revised,GCSE,Drama,Total,Total pupil entries,593,z
Local authority,383.0,E08000035,Leeds,Revised,GCSE,English & mathematics,Total,Total pupil entries,8891,z
Local authority,383.0,E08000035,Leeds,Revised,GCSE,Film Studies,Total,Total pupil entries,24,z
Local authority,383.0,E08000035,Leeds,Revised,GCSE,Geography,Total,Total pupil entries,3817,z
Local authority,383.0,E08000035,Leeds,Revised,GCSE,Media/Film/TV,Total,Total pupil entries,493,z
Local authority,383.0,E08000035,Leeds,Revised,GCSE,Religious Studies,Total,Total pupil entries,2176,z
Local authority,383.0,E08000035,Leeds,Revised,GCSE,Social Studies,Total,Total pupil entries,1215,z
Local authority,383.0,E08000035,Leeds,Revised,GCSE,Statistics,Total,Total pupil entries,525,z
