ward_code,All Ages,Aged 0-19,Percentage of population under 19
E05011384,23403,5247,22.42
E05011385,26458,6328,23.92
E05011387,24114,5841,24.22
E05011388,28759,8226,28.6
E05011389,24579,5475,22.28
E05011390,25023,5457,21.81
E05011391,25096,5783,23.04
E05011394,31757,10644,33.52
E05011395,24733,5462,22.08
E05011396,18691,3784,20.25
E05011397,31093,2181,7.01
E05011399,26714,6243,23.37
E05011400,27019,7269,26.9
E05011401,23062,5063,21.95
E05011402,22363,3850,17.22
E05011403,34637,4743,13.69
E05011404,29758,8433,28.34
E05011405,23802,5349,22.47
E05011406,23169,4764,20.56
E05011407,24449,5221,21.35
E05011409,25512,5703,22.35
E05011410,20510,4318,21.05
E05011411,24043,5889,24.49
E05011413,22373,4508,20.15
E05011414,21579,4088,18.94
E05011547,24712,5876,23.78
E05011549,22609,4401,19.47
E05012647,27180,6835,25.15
E05012648,25183,5769,22.91
E05012841,21774,4699,21.58
E05012842,23957,5824,24.31
E05013830,21456,4368,20.36
E05013831,22916,5266,22.98
