date,date_decimal,pupil_engagements,cumulative_pupil_engagements,school_engagements,cumulative_school_engagements
2022-11-04,2022.841667,396,396,5,5
2022-11-11,2022.861111,987,1383,16,21
2022-11-18,2022.880556,274,1657,7,28
2022-11-25,2022.9,263,1920,6,34
2022-12-02,2022.919444,0,1920,0,34
2022-12-09,2022.938889,0,1920,0,34
2022-12-16,2022.958333,0,1920,0,34
2022-12-23,2022.977778,0,1920,0,34
2022-12-30,2022.997222,0,1920,0,34
2023-01-06,2023.013889,182,2102,4,38
2023-01-13,2023.033333,120,2222,1,39
2023-01-20,2023.052778,484,2706,5,44
2023-01-27,2023.072222,830,3536,6,50
2023-02-03,2023.088889,1408,4944,12,62
2023-02-10,2023.108333,326,5270,8,70
2023-02-17,2023.127778,200,5470,1,71
2023-02-24,2023.147222,567,6037,9,80
2023-03-03,2023.172222,394,6431,6,86
2023-03-10,2023.191667,830,7261,11,97
2023-03-17,2023.211111,289,7550,5,102
2023-03-24,2023.230556,199,7749,4,106
2023-03-31,2023.25,1038,8787,21,127
2023-04-07,2023.266667,0,8787,0,127
2023-04-14,2023.286111,0,8787,0,127
2023-04-21,2023.305556,11278,20065,69,196
2023-04-28,2023.325,79,20144,1,197
2023-05-05,2023.344444,17,20161,0,197
2023-05-12,2023.363889,1131,21292,15,212
2023-05-19,2023.383333,51,21343,1,213
2023-05-26,2023.402778,212,21555,9,222
2023-06-02,2023.419444,0,21555,0,222
2023-06-09,2023.438889,326,21881,11,233
2023-06-16,2023.458333,36,21917,0,233
2023-06-23,2023.477778,1319,23236,56,289
2023-06-30,2023.497222,283,23519,2,291
2023-07-07,2023.516667,606,24125,8,299
2023-07-14,2023.536111,554,24679,2,301
2023-07-21,2023.555556,461,25140,1,302
2023-07-28,2023.575,0,25140,0,302
2023-08-04,2023.591667,0,25140,0,302
2023-08-11,2023.611111,0,25140,0,302
2023-08-18,2023.630556,0,25140,0,302
2023-08-25,2023.65,0,25140,0,302
2023-09-01,2023.666667,0,25140,0,302
2023-09-08,2023.686111,0,25140,0,302
2023-09-15,2023.705556,65,25205,2,304
2023-09-22,2023.725,330,25535,6,310
2023-09-29,2023.744444,208,25743,8,318
2023-10-06,2023.763889,1436,27179,13,331
2023-10-13,2023.783333,0,27179,5,336
2023-10-20,2023.802778,981,28160,23,359
2023-10-27,2023.822222,18,28178,1,360
2023-11-03,2023.838889,207,28385,0,360
2023-11-10,2023.858333,3061,31446,29,389
2023-11-17,2023.877778,1197,32643,21,410
2023-11-24,2023.897222,0,32643,0,410
2023-12-01,2023.916667,1470,34113,32,442
2023-12-08,2023.936111,996,35109,13,455
2023-12-15,2023.955556,267,35376,7,462
