type,school_name,total_KS4_KS5_pupils,total_creative_subject_entered
Academy & Free Schools,Abbey Grange Church of England Academy,938,234
Academy & Free Schools,Bishop Young Church of England Academy,294,50
Academy & Free Schools,Boston Spa Academy,604,136
Academy & Free Schools,Brigshaw High School and Language College,627,271
Academy & Free Schools,Bruntcliffe Academy,433,131
Academy & Free Schools,Co-op Academy Priesthorpe,521,181
Academy & Free Schools,Co-operative Academy of Leeds,352,157
Academy & Free Schools,Cockburn John Charles Academy,462,326
Academy & Free Schools,Cockburn Laurence Calvert Academy,0,0
Academy & Free Schools,Cockburn School,458,275
Academy & Free Schools,Corpus Christi Catholic College,342,120
Academy & Free Schools,Crawshaw Academy,438,177
Academy & Free Schools,Dixons Trinity Chapeltown(Secondary Campus) ,224,0
Academy & Free Schools,Dixons Unity Academy,303,84
Academy & Free Schools,Elliott Hudson College,1061,155
Academy & Free Schools,Garforth Academy,970,215
Academy & Free Schools,Horsforth School,731,282
Academy & Free Schools,John Smeaton Academy,308,182
Academy & Free Schools,Leeds City Academy,304,133
Academy & Free Schools,Leeds East Academy,404,147
Academy & Free Schools,Leeds Jewish Free School,57,32
Academy & Free Schools,Leeds West Academy,510,236
Academy & Free Schools,Oulton Academy,382,207
Academy & Free Schools,Prince Henry's Grammar School,893,291
Academy & Free Schools,Rodillian Academy,716,224
Academy & Free Schools,St. Mary's Menston Catholic Voluntary Academy,623,253
Academy & Free Schools,Temple Learning Academy,235,95
Academy & Free Schools,Temple Moor High School,599,223
Academy & Free Schools,The Elland Academy,2,0
Academy & Free Schools,The Farnley Academy,581,169
Academy & Free Schools,The Morley Academy,570,226
Academy & Free Schools,The Ruth Gorse Academy,515,127
Academy & Free Schools,The Stephen Longfellow Academy,0,0
Academy & Free Schools,Trinity Academy Leeds,0,0
Academy & Free Schools,University Technical College Leeds,425,215
Academy & Free Schools,Woodkirk Academy,923,259
Community,Allerton Grange School,806,106
Community,Allerton High Business and Enterprise Specialist School,837,194
Community,Benton Park School,719,320
Community,Lawnswood School,680,151
Community,Roundhay School,1185,245
Foundation,Carr Manor Community School,407,136
Foundation,Guiseley School,683,271
Foundation,Pudsey Grammar School,656,277
Foundation,Ralph Thoresby School,500,178
Foundation,Wetherby High School,258,123
Special Schools,Broomfield South SILC,117,0
Special Schools,Green Meadows Academy,69,2
Special Schools,John Jamieson School,128,0
Special Schools,Lighthouse School Leeds,50,0
Special Schools,Penny Field School,6,0
Special Schools,Springwell Leeds Academy,102,2
Special Schools,West Oaks School,127,0
Special Schools,West Specialist Inclusive Learning Centre,109,9
Voluntary,Cardinal Heenan Catholic High School,362,75
Voluntary,Mount St Mary's Catholic High School,383,84
